School_Name,Alp_Domain,Alp_Title,Domain 1,Llp_Title1,Domain 2,Llp_Title2
Canberra Primary School,Ict & Media,"Start Young, Start It Right – Curating My Learning",Music & Performing Arts,Immersing In Canberra Experience Through Musical Theatre Education,Nil,Na
Canossa Convent Primary School,Nil,Na,Community Service & Student Leadership,Service Innovation Through Design Thinking,Nil,Na
Cantonment Primary School,InterdiscipliNilry,Tc@Cps,Nil,Na,Nil,Na
Casuarina Primary School,Languages,The Art Of Language,Music & Performing Arts,Holistic Education Through The Arts At Casuarina Primary School (He’Arts@Caps),Nil,Na
Catholic High School,Nil,Na,Sports & Outdoor Education,Vitals (Values Infused Through Active Learning In Sports),Nil,Na
Cedar Primary School,InterdiscipliNilry,Creative And Inventive Thinking (Cit) Programme,Community Service & Student Leadership,Upstanding Leaders@ Cedar Primary School,Nil,Na
Changkat Primary School,Nil,Na,Sports & Outdoor Education,"Sports, Outdoor, Athletics & Recreation @ Changkat Primary",Nil,Na
Chij (Katong) Primary,Languages,"Competent, Confident And Respectful Communicators",Nil,Na,Nil,Na
Chij (Kellock),Nil,Na,Sports & Outdoor Education,"Net Infinity! Nurturing Character, Inspiring Passion And Unleashing Giftedness Through Sports And Outdoor Education",Music & Performing Arts,Artsone+ : Purposeful Learning Of Music And Performing Arts Using The Self-Regulated Approach
Chij Our Lady Of Good Counsel,Languages,Drama And Literary Arts For Life! (D’Lite),Community Service & Student Leadership,The Proactive Leader In Me Development Programme,Nil,Na
Chij Our Lady Of The Nativity,Languages,"Leaps (Learn, Engage, Articulate & Perform)",Sports & Outdoor Education,Oln Spark (Sports Active And Resilient Kids),Nil,Na
Chij Our Lady Queen Of Peace,Science,Science And Environment Education @ Olqp (See @ Olqp),Sports & Outdoor Education,Character Lives In My Behaviour (Climb) Through Sports,Nil,Na
Chij Primary (Toa Payoh),Nil,Na,Music & Performing Arts,Ij Venture & Values Programme,Sports & Outdoor Education,Ijsports
Chongfu School,Nil,Na,Sports & Outdoor Education,Growing Character Through Sports And Outdoor Education,Nil,Na
Chongzheng Primary School,Innovation & Enterprise,Epic -  Empowering Pupils To Innovate For Community,Nil,Na,Nil,Na
Chua Chu Kang Primary School,Coding,Creative Problem Solving Through Robotics,Community Service & Student Leadership,A Confident & Caring Leader - Leading Through C.A.R.E,Nil,Na
Clementi Primary School,Nil,Na,Visual Arts & Design,Instilling Lifelong Learning Through Visual Arts,Nil,Na
Compassvale Primary School,Coding,Inculcating 21St Century Competencies Through Robotics In Math & Science Curriculum,Music & Performing Arts,Developing Aesthetics Appreciation  Through Music Empowerment,Nil,Na
Concord Primary School,InterdiscipliNilry,"E3 Reasoning (Enable, Enrich And Empower) @ Concord",Sports & Outdoor Education,Outdoor Education@Concord,Nil,Na
Coral Primary School,Nil,Na,Visual Arts & Design,Visual Art,Nil,Na
Corporation Primary School,Nil,Na,Music & Performing Arts,Creativity Through Dance,Nil,Na
Da Qiao Primary School,Nil,Na,Community Service & Student Leadership,"Flourish @ Dq: Developing Character Strengths, Resilience & Mindfulness Through Via",Nil,Na
Damai Primary School,Nil,Na,Music & Performing Arts,D'Aesthetics@Damai,Sports & Outdoor Education,Damai Champions Of Character (D'Coach) Programme
Dazhong Primary School,Nil,Na,Music & Performing Arts,Developing 21St Cc Through Arts Education Programme @ Dazhong (Aep@D),Nil,Na
De La Salle School,Nil,Na,Community Service & Student Leadership,Positive Education@Dls: Nurturing Mindful Servant Leaders,Nil,Na
East Coast Primary School,Nil,Na,Sports & Outdoor Education,Sports & Life Skills @ Ecps To Foster 21St Cc,Visual Arts & Design,Thinking Art @ Ecps
East Spring Primary School,Nil,Na,Sports & Outdoor Education,Spring For Life – Developing Character Through Sports,Nil,Na
East View Primary School,Nil,Na,Music & Performing Arts,"Mind, Body And Soul",Nil,Na
Edgefield Primary School,Nil,Na,Music & Performing Arts,Values Inculcation Through The Aesthetics,Visual Arts & Design,21St Century Competencies Through Visual Arts
Elias Park Primary School,Nil,Na,Community Service & Student Leadership,Character In Action @ Epps,Music & Performing Arts,Arts Creatively Expressed @ Elias - Ace@Elias
Endeavour Primary School,InterdiscipliNilry,Nurturing Thinkers Through Knowledge Building Practices,Music & Performing Arts,Every Child A Performer (Ecap),Nil,Na
Eunos Primary School,Nil,Na,Music & Performing Arts,Student Development In The Arts And Through The Arts,Nil,Na
Evergreen Primary School,Nil,Na,Music & Performing Arts,Learning Through The Arts & Learning In The Arts,Nil,Na
Fairfield Methodist School (Primary),Languages,Speak (School-Wide Programme To Enhance Articulateness Among Kids): Pathways To Oracy,Nil,Na,Nil,Na
Farrer Park Primary School,Languages,Drama In Education (Idream),Community Service & Student Leadership,Icare - Leaders Of Tomorrow,Nil,Na
Fengshan Primary School,Nil,Na,Sports & Outdoor Education,Anchored And Driven Leaders Through Sports Excellence,Nil,Na
Fernvale Primary School,Science,Future Skills Programme,Community Service & Student Leadership,"Greenova - To Nurture, Innovative, Responsible, Young Environmentalists Who Love And Care For The Environment",Nil,Na
First Toa Payoh Primary School,Nil,Na,Visual Arts & Design,First Clicks – Literacy Through Photography (Ltp),Nil,Na
Frontier Primary School,Languages,Frontier’S Approach To Communicating Effectively,Music & Performing Arts,Dancefront,Nil,Na
Fuchun Primary School,Nil,Na,Music & Performing Arts,Aesthetically Responding To Shine (Arts),Nil,Na
Fuhua Primary School,Coding,Students As Designers For The 21St Century,Community Service & Student Leadership,Environmental Champions @ Fhps Programme,Nil,Na
Gan Eng Seng Primary School,Nil,Na,Music & Performing Arts,"Nurturing Aesthetics And Values Development In Children Through Band, Choir And Performing Arts",Nil,Na
Geylang Methodist School (Primary),Nil,Na,Community Service & Student Leadership,"Gm Earth Warriors Environment Education (Ee): To Develop Student Leaders Who Empathise, Enrich And Empower",Nil,Na
Gongshang Primary School,Nil,Na,Sports & Outdoor Education,Character Through Sports,Nil,Na
Greendale Primary School,InterdiscipliNilry,Developing Critical And Inventive Thinking Skills Through Toy Design,Sports & Outdoor Education,Developing 21St Century Lifelong Learners Through Outdoor Education,Nil,Na
Greenridge Primary School,Nil,Na,Community Service & Student Leadership,Ne2+ (Positive): Nurturing Ethical And Effective Leaders With Positive Mind-Sets,Nil,Na
Greenwood Primary School,Languages,Bilingual Literature Appreciation Student Series (Bliss),Community Service & Student Leadership,"Whizz - We Are Thinking, Inventive And Zealous Kidz To Serve The Community",Nil,Na
Guangyang Primary School,Nil,Na,Music & Performing Arts,"Live Your Passion – Developing Life-Long Learners With A Passion For Music, Dance And Drama",Nil,Na
Haig Girls' School,InterdiscipliNilry,Innovation And Service Learning Through Integrated Project Work (Ipw@Hgs),Music & Performing Arts,Character And Leadership Through The Performing And Visual Arts,Nil,Na
Henry Park Primary School,Science,Science For Life @ Hpps,Sports & Outdoor Education,Sports4Life @ Hhps,Nil,Na
Holy Innocents' Primary School,Coding,Digiminds@Hips,Music & Performing Arts,Artistry@Hips,Nil,Na
Hong Wen School,Nil,Na,Sports & Outdoor Education,Developing 21St Century Learners Holistically Through Sports And Games,Community Service & Student Leadership,Everyone A Gracious Leader Who Contributes To Society (Eagles)
Horizon Primary School,Mathematics,Computational Thinking In Mathematics,Community Service & Student Leadership,I-Lead – A Whole School Student Leadership Development Programme,Nil,Na
Hougang Primary School,Science,"X-Cell In Science@Hgp – Experiment, Explore, Experience",Sports & Outdoor Education,Character Development Through Outdoor Adventure Education (Oae),Nil,Na
Huamin Primary School,Nil,Na,Visual Arts & Design,Creative Arts Programme For Students (C.A.P.S.),Community Service & Student Leadership,Nurturing Caps (T-Caps) @Huamin Through Community Service & Student Leadership Development In Education For Sustainable Development (Esd)
